KomKode;Y;X;KmsCellId;NBefPer;Dagbefolk
155;6166250;729350;100M_61662_7293;40;0
155;6166250;729450;100M_61662_7294;30;0
155;6166250;729550;100M_61662_7295;30;1
155;6166250;729650;100M_61662_7296;28;2
155;6166250;729750;100M_61662_7297;42;1
155;6166250;729850;100M_61662_7298;12;0
155;6166250;729950;100M_61662_7299;31;0
155;6166250;730050;100M_61662_7300;23;0
155;6166250;730150;100M_61662_7301;30;1
155;6166250;730250;100M_61662_7302;24;2
155;6166250;730350;100M_61662_7303;35;0
155;6166250;730450;100M_61662_7304;28;1
155;6166250;730550;100M_61662_7305;32;4
155;6166250;730650;100M_61662_7306;20;0
155;6166250;730850;100M_61662_7308;7;3
155;6166250;730950;100M_61662_7309;22;0
185;6166350;725050;100M_61663_7250;22;1
185;6166350;725150;100M_61663_7251;38;0
185;6166350;725250;100M_61663_7252;36;0
185;6166350;725350;100M_61663_7253;30;0
185;6166350;725450;100M_61663_7254;21;1
185;6166350;725550;100M_61663_7255;14;0
185;6166350;725650;100M_61663_7256;2;6
185;6166350;725750;100M_61663_7257;5;4
185;6166350;725850;100M_61663_7258;0;0
185;6166350;726550;100M_61663_7265;5;0
155;6166350;729050;100M_61663_7290;11;0
155;6166350;729150;100M_61663_7291;18;21
155;6166350;729250;100M_61663_7292;18;6
155;6166350;729350;100M_61663_7293;23;1
155;6166350;729450;100M_61663_7294;33;10
155;6166350;729550;100M_61663_7295;32;0
155;6166350;729650;100M_61663_7296;23;0
155;6166350;729750;100M_61663_7297;33;0
155;6166350;729850;100M_61663_7298;37;0
155;6166350;729950;100M_61663_7299;29;1
155;6166350;730050;100M_61663_7300;29;0
155;6166350;730150;100M_61663_7301;15;0
155;6166350;730250;100M_61663_7302;28;3
155;6166350;730350;100M_61663_7303;16;0
155;6166350;730450;100M_61663_7304;29;1
155;6166350;730550;100M_61663_7305;13;0
155;6166350;730650;100M_61663_7306;19;0
155;6166350;730750;100M_61663_7307;12;8
155;6166350;730950;100M_61663_7309;22;0
155;6166350;731050;100M_61663_7310;8;0
155;6166350;731450;100M_61663_7314;0;1
185;6166450;725150;100M_61664_7251;25;1
185;6166450;725250;100M_61664_7252;34;3
185;6166450;725350;100M_61664_7253;36;0
185;6166450;725450;100M_61664_7254;34;0
185;6166450;725550;100M_61664_7255;31;0
185;6166450;725650;100M_61664_7256;17;1
185;6166450;725750;100M_61664_7257;0;22
185;6166450;725850;100M_61664_7258;0;0
185;6166450;725950;100M_61664_7259;6;0
185;6166450;726150;100M_61664_7261;1;0
185;6166450;726550;100M_61664_7265;5;0
155;6166450;729050;100M_61664_7290;6;21
155;6166450;729150;100M_61664_7291;27;0
155;6166450;729250;100M_61664_7292;29;0
155;6166450;729350;100M_61664_7293;20;0
155;6166450;729450;100M_61664_7294;21;0
155;6166450;729550;100M_61664_7295;11;1
155;6166450;729650;100M_61664_7296;14;1
155;6166450;729750;100M_61664_7297;10;0
155;6166450;729850;100M_61664_7298;21;0
155;6166450;729950;100M_61664_7299;17;0
155;6166450;730050;100M_61664_7300;19;1
155;6166450;730150;100M_61664_7301;21;1
155;6166450;730250;100M_61664_7302;15;1
155;6166450;730450;100M_61664_7304;18;0
155;6166450;730550;100M_61664_7305;32;0
155;6166450;730650;100M_61664_7306;27;4
155;6166450;730750;100M_61664_7307;31;7
155;6166450;730850;100M_61664_7308;4;0
155;6166450;730950;100M_61664_7309;6;0
155;6166450;731050;100M_61664_7310;83;1
155;6166450;731150;100M_61664_7311;14;7
185;6166550;725250;100M_61665_7252;9;1
185;6166550;725350;100M_61665_7253;31;0
185;6166550;725450;100M_61665_7254;34;1
185;6166550;725550;100M_61665_7255;44;2
185;6166550;725650;100M_61665_7256;26;3
185;6166550;725750;100M_61665_7257;26;0
185;6166550;725850;100M_61665_7258;17;1
185;6166550;725950;100M_61665_7259;8;0
185;6166550;726050;100M_61665_7260;28;5
185;6166550;726150;100M_61665_7261;17;2
185;6166550;726250;100M_61665_7262;12;0
185;6166550;726450;100M_61665_7264;3;1
185;6166550;726550;100M_61665_7265;4;6
155;6166550;728850;100M_61665_7288;2;1
155;6166550;729050;100M_61665_7290;20;0
155;6166550;729650;100M_61665_7296;2;2
155;6166550;729750;100M_61665_7297;15;0
155;6166550;729850;100M_61665_7298;26;0
155;6166550;729950;100M_61665_7299;13;0
155;6166550;730050;100M_61665_7300;13;0
155;6166550;730150;100M_61665_7301;20;0
155;6166550;730250;100M_61665_7302;29;0
155;6166550;730350;100M_61665_7303;14;0
155;6166550;730450;100M_61665_7304;28;1
155;6166550;730550;100M_61665_7305;25;4
155;6166550;730650;100M_61665_7306;35;2
155;6166550;730750;100M_61665_7307;21;0
155;6166550;730850;100M_61665_7308;23;0
155;6166550;730950;100M_61665_7309;14;151
155;6166550;731050;100M_61665_7310;22;4
155;6166550;731150;100M_61665_7311;29;2
155;6166550;731250;100M_61665_7312;10;0
155;6166550;731350;100M_61665_7313;9;0
155;6166550;731450;100M_61665_7314;12;1
155;6166550;731650;100M_61665_7316;0;1
185;6166650;725350;100M_61666_7253;28;0
185;6166650;725450;100M_61666_7254;44;0
185;6166650;725550;100M_61666_7255;36;0
185;6166650;725650;100M_61666_7256;28;0
185;6166650;725750;100M_61666_7257;25;0
185;6166650;725850;100M_61666_7258;28;0
185;6166650;725950;100M_61666_7259;38;0
185;6166650;726050;100M_61666_7260;36;0
185;6166650;726150;100M_61666_7261;37;1
185;6166650;726250;100M_61666_7262;12;0
185;6166650;726350;100M_61666_7263;4;0
185;6166650;726550;100M_61666_7265;9;2
185;6166650;726650;100M_61666_7266;4;0
155;6166650;728850;100M_61666_7288;1;53
155;6166650;728950;100M_61666_7289;0;9
155;6166650;729050;100M_61666_7290;11;0
155;6166650;729750;100M_61666_7297;9;1
155;6166650;729850;100M_61666_7298;35;2
155;6166650;729950;100M_61666_7299;14;1
155;6166650;730050;100M_61666_7300;29;3
155;6166650;730150;100M_61666_7301;24;1
155;6166650;730250;100M_61666_7302;20;0
155;6166650;730350;100M_61666_7303;25;5
155;6166650;730450;100M_61666_7304;51;0
155;6166650;730550;100M_61666_7305;39;1
155;6166650;730650;100M_61666_7306;19;8
